"index","mc","mcblue","mclds","ismc","ismcblue","ismclds"
"0","0.012482","0.018310","0.018000","0.000785","0.006063","0.004444",
"1","0.003858","0.011934","0.008731","0.000178","0.005272","0.001431",
"2","0.005709","0.009120","0.000085","0.000464","0.007603","0.003062",
"3","0.004084","0.005124","0.006542","0.002237","0.003797","0.000520",
"4","0.000010","0.005918","0.001032","0.001719","0.002576","0.000367",
"5","0.000728","0.004624","0.001705","0.001794","0.002323","0.000628",
"6","0.000594","0.002496","0.003394","0.002133","0.002046","0.000254",
"7","0.000490","0.004228","0.000158","0.001427","0.001557","0.000587",
"8","0.000676","0.001507","0.002457","0.000445","0.001312","0.000644",
"9","0.000494","0.000578","0.001266","0.000120","0.001293","0.000375",
"10","0.001804","0.000129","0.000293","0.000545","0.000676","0.000805",
"11","0.001227","0.000550","0.002216","0.000930","0.000275","0.000119",
"12","0.001057","0.000254","0.000121","0.001041","0.000393","0.000067",
"13","0.000203","0.000591","0.001079","0.001049","0.000064","0.000429",
"14","0.000472","0.000190","0.001345","0.001061","0.000672","0.000384",
"15","0.001395","0.000471","0.000052","0.001361","0.000454","0.000812",
"16","0.000296","0.000887","0.001475","0.000958","0.000740","0.000381",
"17","0.000017","0.000718","0.000437","0.000751","0.000781","0.000235",
"18","0.000022","0.000314","0.000386","0.000616","0.000599","0.000303",
"19","0.000368","0.000772","0.001266","0.000787","0.000517","0.000205",
"20","0.000821","0.000092","0.000032","0.000808","0.000520","0.000035",
"21","0.000493","0.000702","0.000894","0.000706","0.000591","0.000103",
"22","0.000129","0.000086","0.000681","0.000693","0.000444","0.000032",
"23","0.000658","0.000511","0.000051","0.000552","0.000399","0.000290",
"24","0.000622","0.000300","0.001061","0.000601","0.000447","0.000018",
"25","0.000839","0.000291","0.000141","0.000577","0.000519","0.000010",
"26","0.000959","0.000373","0.000448","0.000425","0.000537","0.000157",
"27","0.000769","0.000523","0.000805","0.000242","0.000451","0.000071",
"28","0.000898","0.000159","0.000045","0.000328","0.000301","0.000342",
"29","0.000633","0.000508","0.000780","0.000255","0.000498","0.000258",
"30","0.000082","0.000821","0.000348","0.000131","0.000429","0.000181",
"31","0.000344","0.001022","0.000146","0.000060","0.000611","0.000301",
"32","0.000458","0.001179","0.000797","0.000055","0.000761","0.000015",
"33","0.000553","0.001163","0.000016","0.000049","0.000658","0.000060",
"34","0.000184","0.001463","0.000483","0.000011","0.000696","0.000194",
"35","0.000182","0.001751","0.000515","0.000158","0.000534","0.000184",
"36","0.000128","0.002219","0.000010","0.000010","0.000675","0.000341",
