"index","mc","mcblue","mclds","ismc","ismcblue","ismclds"
"0","1.234740","1.232762","1.243719","0.200351","0.190341","0.205898",
"1","0.609465","0.610364","0.160269","0.099224","0.097647","0.043208",
"2","0.409750","0.408728","0.031102","0.066374","0.065345","0.013667",
"3","0.309303","0.307968","0.088070","0.049527","0.050014","0.015467",
"4","0.248268","0.245713","0.004405","0.039536","0.039908","0.003379",
"5","0.203411","0.203219","0.025099","0.033268","0.033467","0.005707",
"6","0.173496","0.172924","0.020991","0.028562","0.028728","0.004399",
"7","0.150245","0.151664","0.000674","0.024755","0.025123","0.000869",
"8","0.132225","0.134983","0.016962","0.022036","0.022071","0.003040",
"9","0.119731","0.121508","0.004049","0.019646","0.019993","0.001578",
"10","0.108455","0.110981","0.004149","0.017964","0.018202","0.001367",
"11","0.100091","0.101294","0.009163","0.016525","0.016734","0.001607",
"12","0.091868","0.093520","0.000098","0.015138","0.015429","0.000217",
"13","0.085264","0.086562","0.005760","0.014006","0.014321","0.001129",
"14","0.079667","0.080329","0.003525","0.013055","0.013292","0.000913",
"15","0.075183","0.075787","0.000656","0.012243","0.012453","0.000420",
"16","0.070627","0.070572","0.004922","0.011619","0.011640","0.000884",
"17","0.066614","0.066632","0.000632","0.010900","0.010944","0.000356",
"18","0.063483","0.063104","0.002079","0.010252","0.010390","0.000518",
"19","0.060315","0.060285","0.002892","0.009787","0.009888","0.000522",
"20","0.057480","0.057490","0.000014","0.009375","0.009376","0.000052",
"21","0.055244","0.055250","0.002691","0.008932","0.008950","0.000470",
"22","0.052339","0.052708","0.001036","0.008572","0.008564","0.000332",
"23","0.050579","0.050317","0.000625","0.008208","0.008218","0.000260",
"24","0.048878","0.048213","0.002215","0.007949","0.007850","0.000403",
"25","0.047289","0.046623","0.000096","0.007664","0.007577","0.000110",
"26","0.045621","0.044788","0.001364","0.007331","0.007323","0.000305",
"27","0.044032","0.043199","0.001201","0.007085","0.007048","0.000282",
"28","0.042613","0.042009","0.000097","0.006786","0.006866","0.000095",
"29","0.041235","0.040823","0.001559","0.006550","0.006628","0.000281",
"30","0.040106","0.039738","0.000336","0.006327","0.006396","0.000147",
"31","0.038800","0.038335","0.000581","0.006098","0.006216","0.000166",
"32","0.037441","0.037193","0.001162","0.005953","0.006008","0.000197",
"33","0.036422","0.036120","0.000010","0.005795","0.005827","0.000013",
"34","0.035397","0.034962","0.000982","0.005598","0.005620","0.000176",
"35","0.034216","0.034177","0.000539","0.005468","0.005461","0.000147",
"36","0.033255","0.033240","0.000171","0.005334","0.005297","0.000089",
"37","0.032503","0.032548","0.000982","0.005218","0.005158","0.000178",
"38","0.031597","0.031699","0.000094","0.005077","0.005003","0.000067",
"39","0.030777","0.030826","0.000529","0.004958","0.004877","0.000127",
"40","0.029987","0.029963","0.000642","0.004813","0.004752","0.000130",
"41","0.029337","0.029275","0.000014","0.004674","0.004618","0.000027",
"42","0.028691","0.028487","0.000730","0.004563","0.004489","0.000132",
"43","0.028153","0.027876","0.000237","0.004471","0.004382","0.000088",
"44","0.027626","0.027268","0.000220","0.004358","0.004301","0.000081",
"45","0.027159","0.026780","0.000637","0.004269","0.004197","0.000115",
"46","0.026489","0.026370","0.000014","0.004183","0.004096","0.000024",
"47","0.025854","0.025789","0.000468","0.004090","0.004028","0.000097",
"48","0.025227","0.025349","0.000354","0.004025","0.003946","0.000089",
"49","0.024649","0.024798","0.000053","0.003931","0.003860","0.000039",
"50","0.024213","0.024309","0.000546","0.003847","0.003790","0.000097",
"51","0.023678","0.023886","0.000092","0.003773","0.003735","0.000045",
"52","0.023262","0.023412","0.000246","0.003697","0.003654","0.000062",
"53","0.022730","0.022926","0.000412","0.003621","0.003596","0.000070",
"54","0.022311","0.022457","0.000010","0.003566","0.003517","0.000010",
"55","0.021956","0.022058","0.000404","0.003486","0.003458","0.000069",
"56","0.021537","0.021648","0.000186","0.003409","0.003403","0.000054",
"57","0.021174","0.021255","0.000092","0.003351","0.003348","0.000040",
"58","0.020788","0.020780","0.000403","0.003299","0.003292","0.000073",
"59","0.020503","0.020500","0.000025","0.003243","0.003243","0.000023",
"60","0.020134","0.020121","0.000252","0.003194","0.003188","0.000058",
"61","0.019815","0.019819","0.000259","0.003148","0.003132","0.000058",
"62","0.019498","0.019440","0.000014","0.003093","0.003086","0.000017",
"63","0.019185","0.019098","0.000338","0.003035","0.003034","0.000062",
"64","0.018939","0.018868","0.000088","0.002997","0.002994","0.000037",
"65","0.018572","0.018523","0.000123","0.002946","0.002943","0.000039",
"66","0.018361","0.018185","0.000290","0.002905","0.002906","0.000051",
"67","0.018095","0.017940","0.000010","0.002873","0.002860","0.000010",
"68","0.017866","0.017605","0.000243","0.002841","0.002824","0.000046",
"69","0.017628","0.017378","0.000155","0.002806","0.002786","0.000041",
"70","0.017381","0.017103","0.000038","0.002771","0.002742","0.000023",
"71","0.017169","0.016802","0.000274","0.002735","0.002714","0.000050",
"72","0.016913","0.016598","0.000034","0.002707","0.002686","0.000021",
"73","0.016652","0.016410","0.000144","0.002673","0.002655","0.000035",
"74","0.016415","0.016167","0.000201","0.002644","0.002622","0.000038",
"75","0.016191","0.016016","0.000010","0.002609","0.002586","0.000010",
"76","0.015973","0.015909","0.000223","0.002580","0.002564","0.000039",
"77","0.015717","0.015754","0.000084","0.002541","0.002539","0.000029",
"78","0.015538","0.015578","0.000063","0.002507","0.002507","0.000025",
"79","0.015315","0.015367","0.000214","0.002480","0.002476","0.000039",
"80","0.015136","0.015171","0.000010","0.002456","0.002446","0.000010",
"81","0.014928","0.015061","0.000153","0.002435","0.002412","0.000033",
"82","0.014780","0.014822","0.000132","0.002398","0.002383","0.000031",
"83","0.014564","0.014649","0.000014","0.002370","0.002347","0.000012",
"84","0.014386","0.014497","0.000195","0.002338","0.002324","0.000035",
"85","0.014217","0.014342","0.000040","0.002307","0.002290","0.000018",
