"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"0","0.007063","0.003528","0.034283","0.009437","0.051399","0.006596","0.028035","0.040491","0.056363","0.008870","0.019169","0.030609",
"1","0.010637","0.011812","0.012207","0.011923","0.011898","0.006663","0.063358","0.019447","0.001776","0.002564","0.010581","0.014588",
"2","0.026109","0.018690","0.009620","0.007762","0.010590","0.007424","0.037719","0.029901","0.004817","0.000046","0.005541","0.012492",
"3","0.020027","0.011133","0.008964","0.003870","0.003375","0.001192","0.036616","0.027630","0.009243","0.003129","0.009080","0.006098",
"4","0.000748","0.023443","0.002609","0.004229","0.012123","0.004006","0.030274","0.023497","0.002978","0.001070","0.001539","0.000505",
"5","0.002289","0.008026","0.004508","0.003192","0.007154","0.001931","0.035221","0.009369","0.011556","0.000121","0.002742","0.001824",
"6","0.002311","0.011876","0.001949","0.003106","0.007637","0.002864","0.031464","0.004582","0.004517","0.001899","0.009403","0.001995",
"7","0.002476","0.012012","0.000250","0.000605","0.014920","0.003761","0.028074","0.002246","0.002105","0.001941","0.008864","0.003400",
"8","0.004965","0.014849","0.003720","0.001688","0.013782","0.000895","0.028460","0.002922","0.005711","0.000991","0.004844","0.004350",
"9","0.003492","0.017513","0.001937","0.005630","0.012003","0.001836","0.025418","0.004823","0.000228","0.002769","0.003005","0.000287",
"10","0.003195","0.021996","0.002951","0.006469","0.010176","0.000298","0.020176","0.010530","0.004605","0.001015","0.004154","0.001209",
"11","0.000806","0.021358","0.002056","0.008591","0.008998","0.000419","0.019815","0.012173","0.004528","0.001235","0.002752","0.000598",
"12","0.000578","0.016407","0.000460","0.006340","0.007608","0.002623","0.016920","0.011081","0.000657","0.001016","0.002426","0.000526",
"13","0.000186","0.016404","0.002515","0.006028","0.010047","0.000176","0.016632","0.003970","0.004776","0.001184","0.004291","0.002210",
"14","0.007358","0.017352","0.001619","0.004582","0.007103","0.001927","0.017919","0.004742","0.001224","0.000083","0.001045","0.001539",
