"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"0","0.003320","0.003320","0.003320","0.033700","0.033700","0.033700","0.056755","0.056755","0.056755","0.000739","0.000739","0.010450",
"1","0.005352","0.005352","0.034648","0.011395","0.011395","0.013475","0.025851","0.025851","0.004019","0.000384","0.010768","0.007859",
"2","0.020912","0.020912","0.004440","0.009020","0.009020","0.005763","0.004463","0.004463","0.006657","0.008212","0.002055","0.004284",
"3","0.004593","0.004593","0.013470","0.004293","0.004293","0.019038","0.004308","0.004308","0.017581","0.013155","0.006653","0.007347",
"4","0.007168","0.007168","0.006965","0.010671","0.010671","0.000924","0.006580","0.006580","0.003858","0.012490","0.002801","0.000161",
"5","0.006233","0.006233","0.000104","0.007301","0.007301","0.002523","0.000400","0.000400","0.003703","0.010845","0.000935","0.001175",
"6","0.007736","0.007736","0.012427","0.004813","0.004813","0.001744","0.006258","0.006258","0.001551","0.011249","0.003978","0.001836",
"7","0.012773","0.012773","0.000793","0.003116","0.003116","0.002881","0.009796","0.009796","0.000354","0.011809","0.000118","0.007226",
"8","0.014472","0.014472","0.002448","0.002732","0.002732","0.000348","0.014844","0.014844","0.005710","0.010196","0.001076","0.010880",
"9","0.014587","0.014587","0.005862","0.002496","0.002496","0.001905","0.016644","0.016644","0.001035","0.009552","0.001429","0.011150",
"10","0.015216","0.015216","0.000890","0.000681","0.000681","0.003092","0.013681","0.013681","0.000897","0.011160","0.000393","0.008634",
"11","0.014815","0.014815","0.006006","0.000110","0.000110","0.000283","0.011348","0.011348","0.003483","0.009463","0.001685","0.003890",
"12","0.015589","0.015589","0.000914","0.001567","0.001567","0.007489","0.014381","0.014381","0.002203","0.010270","0.000495","0.000788",
"13","0.014281","0.014281","0.000011","0.005052","0.005052","0.006611","0.015521","0.015521","0.001268","0.009166","0.000247","0.001265",
"14","0.014663","0.014663","0.005108","0.001059","0.001059","0.004626","0.010479","0.010479","0.000502","0.007360","0.000745","0.000946",
"15","0.011110","0.011110","0.000817","0.003292","0.003292","0.004647","0.012396","0.012396","0.000041","0.007160","0.000123","0.000485",
"16","0.011202","0.011202","0.002300","0.002172","0.002172","0.001344","0.012334","0.012334","0.003562","0.005657","0.000214","0.002593",
"17","0.008174","0.008174","0.002467","0.003157","0.003157","0.002829","0.012202","0.012202","0.001176","0.005268","0.000385","0.002208",
"18","0.008326","0.008326","0.000276","0.004194","0.004194","0.001682","0.014223","0.014223","0.000762","0.003160","0.000262","0.000594",
"19","0.009552","0.009552","0.004179","0.003568","0.003568","0.000870","0.013253","0.013253","0.001399","0.003409","0.001233","0.000751",
"20","0.010191","0.010191","0.000127","0.001237","0.001237","0.000735","0.010184","0.010184","0.000053","0.004877","0.000243","0.001545",
"21","0.009627","0.009627","0.000537","0.002550","0.002550","0.000261","0.013116","0.013116","0.002285","0.003107","0.000213","0.002635",
"22","0.008876","0.008876","0.002944","0.003133","0.003133","0.000918","0.012596","0.012596","0.000424","0.003538","0.000728","0.003999",
"23","0.007912","0.007912","0.000389","0.002967","0.002967","0.000675","0.011310","0.011310","0.000219","0.004082","0.000341","0.002091",
"24","0.008268","0.008268","0.002610","0.003436","0.003436","0.001069","0.011064","0.011064","0.001853","0.003807","0.000874","0.002924",
"25","0.009611","0.009611","0.001166","0.003562","0.003562","0.001782","0.012687","0.012687","0.001458","0.003969","0.000641","0.001689",
"26","0.009797","0.009797","0.000169","0.003802","0.003802","0.001627","0.013268","0.013268","0.000055","0.004514","0.000416","0.000817",
"27","0.010197","0.010197","0.003097","0.002534","0.002534","0.000899","0.011202","0.011202","0.000243","0.004121","0.000948","0.000728",
"28","0.006535","0.006535","0.000297","0.003368","0.003368","0.001413","0.011214","0.011214","0.000131","0.004666","0.000027","0.000867",
"29","0.007011","0.007011","0.000940","0.003185","0.003185","0.000163","0.010695","0.010695","0.001909","0.004623","0.000180","0.000983",
"30","0.008491","0.008491","0.001748","0.002420","0.002420","0.000202","0.010320","0.010320","0.000414","0.004398","0.000597","0.000550",
"31","0.008810","0.008810","0.000240","0.002376","0.002376","0.000068","0.008883","0.008883","0.000437","0.005013","0.000210","0.001698",
"32","0.006889","0.006889","0.002340","0.003405","0.003405","0.001357","0.009676","0.009676","0.001285","0.005164","0.000897","0.002004",
"33","0.005951","0.005951","0.000081","0.003478","0.003478","0.000651","0.009426","0.009426","0.000176","0.006286","0.000105","0.001481",
"34","0.005196","0.005196","0.000010","0.003533","0.003533","0.000428","0.008881","0.008881","0.001327","0.006854","0.000270","0.000774",
"35","0.005070","0.005070","0.001964","0.003120","0.003120","0.000015","0.008850","0.008850","0.000182","0.006125","0.000344","0.000253",
"36","0.003301","0.003301","0.000390","0.002832","0.002832","0.000208","0.007598","0.007598","0.000457","0.006089","0.000064","0.000160",
"37","0.000997","0.000997","0.001248","0.002229","0.002229","0.001606","0.006350","0.006350","0.001879","0.005777","0.000525","0.001496",
"38","0.001279","0.001279","0.000990","0.002716","0.002716","0.000077","0.007194","0.007194","0.000467","0.005796","0.000396","0.001546",
"39","0.000812","0.000812","0.000057","0.003738","0.003738","0.000373","0.007964","0.007964","0.000484","0.005329","0.000232","0.001399",
"40","0.001538","0.001538","0.002126","0.003199","0.003199","0.000990","0.008084","0.008084","0.000410","0.004797","0.000722","0.001507",
"41","0.002992","0.002992","0.000101","0.003212","0.003212","0.000083","0.008853","0.008853","0.000065","0.004476","0.000070","0.001713",
"42","0.001188","0.001188","0.000444","0.004096","0.004096","0.000439","0.009125","0.009125","0.001154","0.004657","0.000285","0.002203",
"43","0.000332","0.000332","0.001419","0.004022","0.004022","0.000086","0.008453","0.008453","0.000192","0.004397","0.000394","0.002290",
"44","0.000049","0.000049","0.000203","0.003980","0.003980","0.000132","0.008822","0.008822","0.000200","0.004102","0.000215","0.001776",
"45","0.000070","0.000070","0.001532","0.004318","0.004318","0.001035","0.009484","0.009484","0.000961","0.003605","0.000493","0.002945",
"46","0.001927","0.001927","0.000422","0.003382","0.003382","0.000920","0.009542","0.009542","0.000720","0.003821","0.000062","0.002508",
"47","0.001535","0.001535","0.000052","0.003324","0.003324","0.000566","0.008953","0.008953","0.000239","0.003870","0.000081","0.003210",
"48","0.001976","0.001976","0.001670","0.002139","0.002139","0.000072","0.008117","0.008117","0.000144","0.004258","0.000424","0.003888",
"49","0.001308","0.001308","0.000207","0.002279","0.002279","0.000077","0.007519","0.007519","0.000013","0.004190","0.000154","0.004038",
"50","0.001458","0.001458","0.000711","0.001198","0.001198","0.000734","0.006524","0.006524","0.001157","0.004491","0.000240","0.003626",
"51","0.001558","0.001558","0.000954","0.001118","0.001118","0.000114","0.006409","0.006409","0.000371","0.004648","0.000317","0.003277",
"52","0.002536","0.002536","0.000102","0.000709","0.000709","0.000188","0.006536","0.006536","0.000256","0.004154","0.000135","0.002865",
"53","0.001693","0.001693","0.001529","0.001042","0.001042","0.001026","0.006854","0.006854","0.000597","0.004380","0.000452","0.002851",
"54","0.001250","0.001250","0.000011","0.000664","0.000664","0.000256","0.006968","0.006968","0.000017","0.004196","0.000113","0.002129",
"55","0.001048","0.001048","0.000130","0.000717","0.000717","0.001141","0.006658","0.006658","0.000971","0.004677","0.000112","0.002117",
"56","0.001256","0.001256","0.001222","0.000939","0.000939","0.000956","0.006581","0.006581","0.000034","0.004865","0.000383","0.002263",
"57","0.001551","0.001551","0.000192","0.000947","0.000947","0.001046","0.007041","0.007041","0.000301","0.004861","0.000113","0.002748",
"58","0.002189","0.002189","0.001000","0.001109","0.001109","0.001757","0.007272","0.007272","0.001083","0.004864","0.000398","0.002879",
"59","0.003267","0.003267","0.000560","0.000231","0.000231","0.000527","0.006363","0.006363","0.000368","0.004451","0.000303","0.002368",
"60","0.002430","0.002430","0.000034","0.000564","0.000564","0.000868","0.006401","0.006401","0.000311","0.004360","0.000218","0.001329",
"61","0.002676","0.002676","0.001408","0.000543","0.000543","0.000834","0.006350","0.006350","0.000145","0.004255","0.000546","0.001766",
"62","0.002525","0.002525","0.000114","0.000484","0.000484","0.000239","0.006801","0.006801","0.000010","0.004144","0.000074","0.001692",
"63","0.003101","0.003101","0.000377","0.000459","0.000459","0.000399","0.007375","0.007375","0.000887","0.004028","0.000075","0.001395",
"64","0.003660","0.003660","0.000870","0.000839","0.000839","0.000245","0.008109","0.008109","0.000102","0.004079","0.000227","0.001350",
"65","0.003571","0.003571","0.000147","0.001096","0.001096","0.000328","0.008318","0.008318","0.000280","0.004171","0.000010","0.000644",
"66","0.004643","0.004643","0.001096","0.000840","0.000840","0.000924","0.007781","0.007781","0.000725","0.004182","0.000400","0.000941",
"67","0.005164","0.005164","0.000111","0.000842","0.000842","0.000550","0.008518","0.008518","0.000241","0.004399","0.000010","0.000927",
"68","0.005597","0.005597","0.000010","0.000637","0.000637","0.000343","0.008471","0.008471","0.000454","0.004248","0.000049","0.001147",
"69","0.004420","0.004420","0.001055","0.001607","0.001607","0.000034","0.009513","0.009513","0.000015","0.004316","0.000209","0.001223",
"70","0.003452","0.003452","0.000201","0.001494","0.001494","0.000101","0.008961","0.008961","0.000144","0.004223","0.000010","0.001309",
