"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"0","15.595368","15.667281","15.431286","7.586186","7.480050","7.472720","9.212669","9.318831","9.248327","2.302510","7.685305","2.340806",
"1","7.857926","7.754716","2.248200","3.747456","3.706316","2.458862","4.655050","4.699109","1.833962","1.127298","3.800684","0.436012",
"2","5.228662","5.075827","0.481785","2.516724","2.469288","1.184439","3.121234","3.100412","0.563843","0.758902","2.549952","0.218639",
"3","4.027607","3.794245","1.109835","1.879037","1.863598","0.893674","2.356936","2.341193","0.695064","0.574549","1.928501","0.165724",
"4","3.212581","3.065663","0.079212","1.504646","1.467406","0.475125","1.884992","1.838121","0.132864","0.455640","1.541846","0.037349",
"5","2.648580","2.545510","0.329590","1.245567","1.212154","0.433289","1.556062","1.533080","0.253470","0.375054","1.285119","0.073646",
"6","2.264784","2.218580","0.276365","1.075411","1.050080","0.327526","1.339548","1.310052","0.196410","0.325228","1.103063","0.034137",
"7","1.978066","1.904207","0.013291","0.938294","0.910997","0.194212","1.162273","1.153507","0.033109","0.284818","0.972160","0.029274",
"8","1.759608","1.684495","0.210549","0.832938","0.816077","0.220670","1.020240","1.040720","0.135517","0.253191","0.873203","0.031880",
"9","1.563263","1.507799","0.060773","0.750075","0.729139","0.176669","0.920627","0.927094","0.064698","0.226621","0.787178","0.016956",
"10","1.411958","1.378330","0.059491","0.682722","0.669802","0.151794","0.831500","0.840929","0.058952","0.206242","0.713399","0.019940",
"11","1.309279","1.254284","0.116491","0.627374","0.613160","0.128200","0.756431","0.779801","0.072937","0.190937","0.652073","0.009239",
"12","1.201863","1.156636","0.002120","0.579156","0.571636","0.079132","0.706318","0.723074","0.007775","0.175585","0.597621","0.010095",
"13","1.123817","1.087801","0.072745","0.536485","0.531625","0.095986","0.650765","0.672716","0.049102","0.162788","0.557618","0.011103",
"14","1.043598","1.023173","0.048248","0.503369","0.500243","0.089016","0.608867","0.625447","0.038513","0.152902","0.518440","0.009841",
