"x","count"
"0.000050","22"
"0.000150","67"
"0.000250","110"
"0.000350","152"
"0.000450","194"
"0.000550","233"
"0.000650","271"
"0.000750","306"
"0.000850","338"
"0.000950","368"
"0.001050","394"
"0.001150","416"
"0.001250","435"
"0.001350","451"
"0.001450","461"
"0.001550","468"
"0.001650","471"
"0.001750","470"
"0.001850","464"
"0.001950","454"
"0.002050","441"
"0.002150","423"
"0.002250","401"
"0.002350","377"
"0.002450","349"
"0.002550","317"
"0.002650","282"
"0.002750","247"
"0.002850","207"
"0.002950","166"
"0.003050","125"
"0.003150","81"
"0.003250","37"
"0.003350","2"
"0.003450","0"
"0.003550","0"
"0.003650","0"
"0.003750","0"
"0.003850","0"
"0.003950","0"
"0.004050","0"
"0.004150","0"
"0.004250","0"
"0.004350","0"
"0.004450","0"
"0.004550","0"
"0.004650","0"
"0.004750","0"
"0.004850","0"
"0.004950","0"
"0.005050","0"
"0.005150","0"
"0.005250","0"
"0.005350","0"
"0.005450","0"
"0.005550","0"
"0.005650","0"
"0.005750","0"
"0.005850","0"
"0.005950","0"
"0.006050","0"
"0.006150","0"
"0.006250","0"
"0.006350","0"
"0.006450","0"
"0.006550","0"
"0.006650","0"
"0.006750","0"
"0.006850","0"
"0.006950","0"
"0.007050","0"
"0.007150","0"
"0.007250","0"
"0.007350","0"
"0.007450","0"
"0.007550","0"
"0.007650","0"
"0.007750","0"
"0.007850","0"
"0.007950","0"
"0.008050","0"
"0.008150","0"
"0.008250","0"
"0.008350","0"
"0.008450","0"
"0.008550","0"
"0.008650","0"
"0.008750","0"
"0.008850","0"
"0.008950","0"
"0.009050","0"
"0.009150","0"
"0.009250","0"
"0.009350","0"
"0.009450","0"
"0.009550","0"
"0.009650","0"
"0.009750","0"
"0.009850","0"
"0.009950","0"
