"index","mc","mismc"
"0","0.019716","0.055940",
"1","0.011619","0.056624",
"2","0.006328","0.055565",
"3","0.006751","0.055964",
"4","0.005496","0.056209",
"5","0.006488","0.056308",
"6","0.007730","0.056311",
"7","0.008147","0.056571",
"8","0.008816","0.056449",
"9","0.008047","0.056862",
"10","0.007663","0.056991",
"11","0.007682","0.057150",
"12","0.008327","0.057383",
"13","0.008139","0.057366",
"14","0.007765","0.057493",
"15","0.007508","0.057286",
"16","0.007865","0.057406",
"17","0.006334","0.057411",
"18","0.006215","0.057364",
"19","0.006172","0.057286",
"20","0.005565","0.057414",
"21","0.004926","0.057294",
"22","0.004612","0.057278",
"23","0.004135","0.057415",
"24","0.004564","0.057494",
"25","0.004539","0.057412",
"26","0.004211","0.057553",
"27","0.003655","0.057733",
"28","0.002852","0.057687",
"29","0.002875","0.057758",
"30","0.002811","0.057785",
"31","0.002848","0.057739",
"32","0.002364","0.057752",
"33","0.002416","0.057779",
"34","0.002151","0.057769",
"35","0.002275","0.057767",
"36","0.001748","0.057761",
"37","0.001386","0.057757",
"38","0.001325","0.057769",
"39","0.001102","0.057806",
"40","0.001200","0.057769",
"41","0.001537","0.057698",
"42","0.001619","0.057698",
"43","0.001322","0.057657",
"44","0.001041","0.057607",
"45","0.001169","0.057656",
"46","0.001543","0.057605",
"47","0.001476","0.057655",
"48","0.001302","0.057671",
"49","0.001314","0.057709",
"50","0.001255","0.057756",
"51","0.001250","0.057797",
"52","0.001313","0.057764",
"53","0.001195","0.057772",
"54","0.001137","0.057783",
"55","0.001138","0.057789",
"56","0.001167","0.057775",
"57","0.001323","0.057775",
"58","0.001369","0.057801",
"59","0.001546","0.057776",
"60","0.001246","0.057790",
"61","0.001451","0.057819",
"62","0.001673","0.057809",
"63","0.001759","0.057821",
"64","0.001745","0.057806",
"65","0.001888","0.057777",
"66","0.001760","0.057794",
"67","0.001914","0.057819",
"68","0.002125","0.057853",
"69","0.001973","0.057875",
"70","0.001836","0.057879",
"71","0.001501","0.057912",
"72","0.001481","0.057894",
"73","0.001430","0.057916",
"74","0.001587","0.057926",
"75","0.001541","0.057943",
"76","0.001724","0.057952",
"77","0.001657","0.057949",
"78","0.001805","0.057949",
"79","0.001544","0.057953",
"80","0.001407","0.057944",
"81","0.001409","0.057945",
"82","0.001278","0.057922",
"83","0.001132","0.057911",
"84","0.001126","0.057894",
"85","0.001338","0.057896",
"86","0.001119","0.057890",
"87","0.001086","0.057898",
"88","0.001004","0.057900",
"89","0.001019","0.057882",
"90","0.000830","0.057864",
"91","0.000850","0.057896",
"92","0.000846","0.057899",
"93","0.000943","0.057907",
"94","0.000856","0.057908",
"95","0.000770","0.057912",
"96","0.000862","0.057949",
"97","0.000919","0.057950",
"98","0.000754","0.057918",
"99","0.000852","0.057923",
"100","0.000669","0.057912",
"101","0.000721","0.057917",
"102","0.000748","0.057900",
