"x","PDF(x)"
"0.015708","0.000000"
"0.047124","0.000000"
"0.078540","0.000000"
"0.109956","0.000000"
"0.141372","0.000000"
"0.172788","0.000000"
"0.204204","0.000000"
"0.235619","0.000000"
"0.267035","0.000000"
"0.298451","0.000000"
"0.329867","0.000000"
"0.361283","0.000000"
"0.392699","0.000000"
"0.424115","0.000000"
"0.455531","0.000000"
"0.486947","0.000000"
"0.518363","0.000000"
"0.549779","0.000000"
"0.581195","0.000000"
"0.612611","0.000000"
"0.644026","0.000000"
"0.675442","0.000000"
"0.706858","0.000000"
"0.738274","0.000000"
"0.769690","0.000000"
"0.801106","0.000000"
"0.832522","0.000000"
"0.863938","0.000000"
"0.895354","0.000000"
"0.926770","0.000000"
"0.958186","0.000000"
"0.989602","0.000000"
"1.021018","0.000000"
"1.052434","0.000000"
"1.083849","0.000000"
"1.115265","0.000000"
"1.146681","0.000000"
"1.178097","0.000000"
"1.209513","0.000000"
"1.240929","0.000000"
"1.272345","0.000000"
"1.303761","0.000000"
"1.335177","0.000000"
"1.366593","0.000000"
"1.398009","0.000000"
"1.429425","0.000000"
"1.460841","0.000000"
"1.492257","0.000000"
"1.523672","0.000000"
"1.555088","0.000000"
"1.586504","0.000000"
"1.617920","0.000000"
"1.649336","0.000000"
"1.680752","0.000000"
"1.712168","0.000000"
"1.743584","0.000000"
"1.775000","0.000000"
"1.806416","0.000000"
"1.837832","0.000000"
"1.869248","0.000000"
"1.900664","0.000000"
"1.932079","0.000000"
"1.963495","0.000000"
"1.994911","0.000000"
"2.026327","0.000000"
"2.057743","0.000000"
"2.089159","0.000000"
"2.120575","0.117689"
"2.151991","0.257894"
"2.183407","0.395810"
"2.214823","0.530212"
"2.246239","0.659909"
"2.277655","0.783748"
"2.309071","0.900630"
"2.340487","1.009519"
"2.371902","1.109447"
"2.403318","1.199527"
"2.434734","1.278960"
"2.466150","1.347041"
"2.497566","1.403166"
"2.528982","1.446836"
"2.560398","1.477664"
"2.591814","1.495376"
"2.623230","1.499815"
"2.654646","1.490941"
"2.686062","1.468834"
"2.717478","1.433690"
"2.748894","1.385819"
"2.780309","1.325648"
"2.811725","1.253711"
"2.843141","1.170646"
"2.874557","1.077189"
"2.905973","0.974172"
"2.937389","0.862508"
"2.968805","0.743188"
"3.000221","0.617272"
"3.031637","0.485876"
"3.063053","0.350168"
"3.094469","0.211352"
"3.125885","0.070660"
